ticker,company,sector,financial_year,revenue_cr,expenses_cr,operating_profit_cr,operating_margin_pct_reported,interest_cr,depreciation_cr,profit_before_tax_cr,tax_pct_reported,net_profit_cr,eps_rs,dividend_payout_pct,equity_capital_cr,reserves_cr,equity_cr,borrowings_cr,deposits_cr,other_liabilities_cr,total_liabilities_cr,fixed_assets_cr,cwip_cr,investments_cr,other_assets_cr,total_assets_cr,operating_cash_flow_cr,investing_cash_flow_cr,financing_cash_flow_cr,net_cash_flow_cr,free_cash_flow_cr
CIPLA.NS,Cipla,Pharmaceuticals,2023,22753.0,17726.0,5027.0,22.0,110.0,1172.0,4038.0,30.0,2833.0,34.71,24.0,161.0,23246.0,23407.0,803.0,,5089.0,29300.0,9160.0,1093.0,3662.0,15384.0,29300.0,3238.0,-2376.0,-958.0,-97.0,2102.0
CIPLA.NS,Cipla,Pharmaceuticals,2024,25774.0,19483.0,6291.0,24.0,90.0,1051.0,5702.0,27.0,4154.0,51.05,25.0,161.0,26545.0,26706.0,559.0,,5267.0,32533.0,9607.0,1153.0,5449.0,16323.0,32533.0,4134.0,-2982.0,-1200.0,-49.0,2819.0
CIPLA.NS,Cipla,Pharmaceuticals,2025,27548.0,20420.0,7128.0,26.0,62.0,1107.0,6821.0,22.0,5269.0,65.28,25.0,162.0,31032.0,31194.0,438.0,,5702.0,37334.0,10006.0,1566.0,7933.0,17828.0,37334.0,5005.0,-3682.0,-1293.0,30.0,3490.0
CIPLA.NS,Cipla,Pharmaceuticals,2026,28163.0,22280.0,5883.0,21.0,54.0,1211.0,5224.0,26.0,3862.0,48.02,27.0,162.0,34270.0,34432.0,614.0,,7297.0,42343.0,12434.0,2042.0,8223.0,19643.0,42343.0,3940.0,-2234.0,-1234.0,473.0,928.0
COALINDIA.NS,Coal India,Metals & Mining,2015,74120.0,56777.0,17343.0,23.0,9.0,2320.0,21584.0,36.0,13727.0,21.73,95.0,6316.0,34037.0,40353.0,408.0,,70505.0,111267.0,16115.0,5159.0,2813.0,87179.0,111267.0,14382.0,894.0,-15026.0,250.0,9480.0
COALINDIA.NS,Coal India,Metals & Mining,2016,77861.0,59147.0,18714.0,24.0,388.0,2826.0,21440.0,33.0,14267.0,22.59,121.0,6316.0,28517.0,34833.0,1199.0,,77528.0,113560.0,22082.0,4553.0,2906.0,84018.0,113560.0,13154.0,8154.0,-19587.0,1721.0,7368.0
COALINDIA.NS,Coal India,Metals & Mining,2017,78164.0,65716.0,12448.0,16.0,410.0,2907.0,14446.0,36.0,9280.0,14.95,133.0,6207.0,18311.0,24518.0,3014.0,,91054.0,118587.0,23811.0,8585.0,1483.0,84708.0,118587.0,16461.0,455.0,-17598.0,-682.0,7785.0
COALINDIA.NS,Coal India,Metals & Mining,2018,85244.0,75956.0,9288.0,11.0,430.0,3063.0,10770.0,35.0,7038.0,11.34,146.0,6207.0,13971.0,20178.0,1538.0,,103754.0,125471.0,27574.0,10273.0,1704.0,85920.0,125471.0,21115.0,-7747.0,-13564.0,-196.0,12586.0
COALINDIA.NS,Coal India,Metals & Mining,2019,99586.0,74579.0,25007.0,25.0,264.0,3450.0,27127.0,36.0,17464.0,28.34,46.0,6163.0,20292.0,26455.0,2210.0,,104356.0,133021.0,32618.0,9658.0,3170.0,87576.0,133021.0,16356.0,-7896.0,-10885.0,-2426.0,9356.0
COALINDIA.NS,Coal India,Metals & Mining,2020,96080.0,74500.0,21581.0,22.0,503.0,3451.0,24071.0,31.0,16700.0,27.12,44.0,6163.0,25994.0,32157.0,6434.0,,111430.0,150020.0,36784.0,8328.0,1973.0,102936.0,150020.0,4977.0,1033.0,-4791.0,1219.0,-612.0
